"","date","new_diagnoses","new_deaths","new_tests"
"1","2020-07-01",0,NA,138
"2","2020-07-02",0,NA,400
"3","2020-07-03",0,NA,417
"4","2020-07-04",0,NA,132
"5","2020-07-05",0,NA,752
"6","2020-07-06",0,NA,611
"7","2020-07-07",0,NA,491
"8","2020-07-08",0,NA,411
"9","2020-07-09",0,NA,734
"10","2020-07-10",0,NA,391
"11","2020-07-11",0,NA,591
"12","2020-07-12",0,NA,229
"13","2020-07-13",0,NA,536
"14","2020-07-14",0,NA,0
"15","2020-07-15",0,NA,635
"16","2020-07-16",0,NA,386
"17","2020-07-17",0,NA,320
"18","2020-07-18",0,NA,523
"19","2020-07-19",0,NA,522
"20","2020-07-20",0,NA,0
"21","2020-07-21",0,NA,0
"22","2020-07-22",0,NA,575
"23","2020-07-23",0,NA,675
"24","2020-07-24",0,NA,572
"25","2020-07-25",2,0,351
"26","2020-07-26",2,0,849
"27","2020-07-27",17,0,240
"28","2020-07-28",12,0,2176
"29","2020-07-29",10,0,1498
"30","2020-07-30",50,0,2080
"31","2020-07-31",14,2,3376
"32","2020-08-01",28,1,3011
"33","2020-08-02",28,3,3437
"34","2020-08-03",37,0,5473
"35","2020-08-04",45,2,2278
"36","2020-08-05",5,1,9624
"37","2020-08-06",29,1,7077
"38","2020-08-07",32,0,6338
"39","2020-08-08",18,0,4463
"40","2020-08-09",29,2,8930
"41","2020-08-10",5,3,9511
"42","2020-08-11",29,2,5626
"43","2020-08-12",1,4,6012
"44","2020-08-13",20,1,17342
"45","2020-08-14",17,1,11981
"46","2020-08-15",15,2,6915
"47","2020-08-16",9,0,11418
"48","2020-08-17",9,1,13141
"49","2020-08-18",7,0,6175
"50","2020-08-19",6,0,9704
"51","2020-08-20",6,0,6171
"52","2020-08-21",2,0,6840
"53","2020-08-22",5,1,7940
"234","2020-08-23",2,1,NA
"235","2020-08-24",6,0,NA
"236","2020-08-25",7,0,NA
"237","2020-08-26",5,3,NA
"238","2020-08-27",2,0,NA
"239","2020-08-28",2,1,NA
"240","2020-08-29",2,1,NA
"241","2020-08-30",0,0,NA
"242","2020-08-31",4,2,NA
"243","2020-09-01",0,0,NA
"244","2020-09-02",2,1,NA
"245","2020-09-03",0,0,NA
"246","2020-09-04",0,0,NA
"247","2020-09-05",3,0,NA
"248","2020-09-06",0,0,NA
"249","2020-09-07",0,0,NA
